hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar),t(sec),DoS Attack
0,8.74036,-1882.08,-1034.38,-1902.54,-1163,-1780.89,-1116.48,0,5565.51
0,8.741,-1882.68,-1034.03,-1903.28,-1163.63,-1780.71,-1116.75,0.0128,5566.67
0,8.74455,-1887.07,-1037.9,-1906.78,-1167.14,-1784.96,-1119.65,0.0838,5578.81
0,8.74494,-1881.61,-1032.17,-1901.49,-1162.38,-1778.75,-1114.56,0.0916,5561.85
0,8.75124,-1880.69,-1030.47,-1900.71,-1161.66,-1777.06,-1113.47,0.2176,5558.46
0,8.75315,-1881.45,-1030.26,-1901.62,-1162.44,-1777.03,-1113.88,0.2558,5560.1
0,8.75613,-1874.08,-1022.81,-1894.43,-1155.99,-1768.89,-1107.1,0.3154,5537.4
0,8.75857,-1873.49,-1022.24,-1892.96,-1155.05,-1768.18,-1105.58,0.3642,5534.63
0,8.75959,-1882.45,-1029.35,-1902.04,-1163.14,-1776.35,-1113.28,0.3846,5560.84
0,8.75962,-1880.31,-1027.44,-1899.05,-1160.82,-1774.14,-1110.43,0.3852,5553.5
0,8.76155,-1882.17,-1028.19,-1901,-1162.56,-1775.17,-1111.75,0.4238,5558.34
0,8.76234,-1882.73,-1028.66,-1900.71,-1162.66,-1775.64,-1111.29,0.4396,5559.08
0,8.7641,-1881.23,-1026.46,-1899.35,-1161.42,-1773.38,-1109.7,0.4748,5553.96
0,8.76552,-1878.14,-1022.84,-1896.43,-1158.78,-1769.53,-1106.72,0.5032,5544.1
0,8.76688,-1886.11,-1029.05,-1904.54,-1165.99,-1776.7,-1113.55,0.5304,5567.35
0,8.76691,-1884.84,-1027.08,-1903.44,-1164.96,-1774.7,-1112.2,0.531,5562.98
0,8.76756,-1886.13,-1028.17,-1903.83,-1165.69,-1775.85,-1112.34,0.544,5565.81
0,8.76786,-1882.69,-1024.26,-1900.56,-1162.73,-1771.67,-1109.04,0.55,5554.92
0,8.76869,-1879.9,-1020.89,-1897.92,-1160.35,-1768.1,-1106.3,0.5666,5545.92
0,8.77815,-1879.47,-1019.62,-1897.63,-1160.07,-1766.88,-1105.65,0.7558,5543.98
0,8.78439,-1872.97,-1013.78,-1890.25,-1153.88,-1760.25,-1098.87,0.8806,5523.47
0,8.84546,-1872.68,-1012.65,-1890.1,-1153.73,-1759.18,-1098.35,2.102,5521.96
0,8.89223,-1871.19,-1011.29,-1887.76,-1152,-1757.59,-1096.07,3.0374,5516.54
0,8.89935,-1876.36,-1014.98,-1893,-1156.69,-1761.92,-1100.31,3.1798,5531.28
0,8.9109,-1885.25,-1022.89,-1901.03,-1164.2,-1770.73,-1107.28,3.4108,5557.01
0,8.9133,-1879.44,-1016.85,-1895.4,-1159.13,-1764.17,-1101.89,3.4588,5539.01
0,8.91456,-1880.45,-1016.88,-1896.54,-1160.13,-1764.41,-1102.52,3.484,5541.4
0,8.9217,-1875.72,-1011.84,-1892.01,-1156.03,-1758.95,-1098.12,3.6268,5526.68
0,8.9367,-1871.71,-1007.39,-1888.16,-1152.58,-1754.17,-1094.31,3.9268,5514.04
0,8.94163,-1881.9,-1015.56,-1898.48,-1161.75,-1763.55,-1103.08,4.0254,5543.93
0,8.94733,-1884.21,-1016.77,-1900.94,-1163.91,-1765.11,-1104.9,4.1394,5550.26
0,8.95005,-1884.19,-1015.9,-1901.1,-1164,-1764.36,-1104.67,4.1938,5549.65
0,8.95328,-1875.48,-1008.11,-1891.52,-1155.85,-1755.52,-1095.94,4.2584,5522.52
0,8.95835,-1874.76,-1007.41,-1889.91,-1154.79,-1754.67,-1094.3,4.3598,5519.34
0,8.95836,-1880.29,-1012.25,-1894.49,-1159.28,-1760.03,-1098.14,4.36,5534.81
0,8.96068,-1872.57,-1004.56,-1886.97,-1152.54,-1751.59,-1091.1,4.4064,5511.13
