hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar),t(sec),Load Shifting Algorithm
0,11.41296,-1894.72,-1045.73,-1915.19,-1174.3,-1793.58,-1127.81,0,5603.49
0,11.61824,-1886.9,-1037.84,-1907.54,-1167.41,-1784.98,-1120.57,1.0264,5579.42
0,11.85406,-1886.44,-1036.54,-1907.22,-1167.1,-1783.73,-1119.88,2.2055,5577.39
0,12.22947,-1894.81,-1043.98,-1914.69,-1174.16,-1791.97,-1126.35,4.08255,5601.47
0,12.72717,-1889.1,-1038.01,-1909.15,-1169.17,-1785.51,-1121.02,6.57105,5583.76
0,13.06471,-1879.86,-1028.86,-1900.07,-1161.03,-1775.47,-1112.51,8.25875,5555.4
0,13.40229,-1888.48,-1035.67,-1908.82,-1168.82,-1783.3,-1119.93,9.94665,5580.6
0,13.76866,-1884.32,-1031.97,-1903.83,-1164.7,-1779.1,-1115.3,11.7785,5567.25
0,13.98981,-1883.06,-1029.93,-1902.66,-1163.66,-1777.01,-1113.84,12.88425,5562.73
0,14.28371,-1885.3,-1031.86,-1904.01,-1165.24,-1779.11,-1114.83,14.35375,5568.42
0,14.6369,-1890.16,-1035.32,-1908.97,-1169.68,-1783.17,-1118.86,16.1197,5582.3
0,14.91011,-1880.91,-1026.22,-1899.95,-1161.55,-1773.2,-1110.44,17.48575,5554.06
0,15.20633,-1880.22,-1024.73,-1899.4,-1161.04,-1771.73,-1109.56,18.96685,5551.35
0,15.45173,-1883.68,-1026.91,-1902.97,-1164.21,-1774.38,-1112.34,20.19385,5561.03
0,15.74315,-1890.34,-1032.84,-1908.78,-1169.76,-1780.96,-1117.33,21.65095,5580.08
0,16.1273,-1886.71,-1028.77,-1905.33,-1166.62,-1776.6,-1113.89,23.5717,5568.64
0,16.54776,-1877.53,-1019.67,-1896.3,-1158.55,-1766.61,-1105.43,25.674,5540.44
0,16.87541,-1888.44,-1028.51,-1907.33,-1168.37,-1776.73,-1114.87,27.31225,5572.5
0,17.30562,-1883.13,-1022.92,-1902.21,-1163.75,-1770.68,-1109.93,29.4633,5556.02
0,17.81627,-1887.67,-1026.08,-1906.85,-1167.89,-1774.42,-1113.67,32.01655,5568.94
0,18.14297,-1882.72,-1021.68,-1901.11,-1163.08,-1769.43,-1108.38,33.65005,5553.26
0,18.4907,-1888.5,-1025.9,-1906.93,-1168.32,-1774.34,-1113.14,35.3887,5569.77
0,18.81669,-1887.79,-1024.44,-1906.43,-1167.8,-1772.93,-1112.34,37.01865,5567.15
0,19.06358,-1881.98,-1018.39,-1900.8,-1162.73,-1766.35,-1106.93,38.2531,5549.13
0,19.44028,-1878.24,-1014.21,-1897.24,-1159.51,-1761.87,-1103.39,40.1366,5537.35
0,19.75479,-1875.33,-1010.74,-1894.48,-1157.03,-1758.18,-1100.54,41.70915,5527.99
0,20.09275,-1882.97,-1016.64,-1902.25,-1163.93,-1765.01,-1107.06,43.39895,5550.23
0,20.48242,-1886.19,-1018.65,-1905.6,-1166.9,-1767.47,-1109.66,45.3473,5559.26
0,20.79478,-1882.47,-1014.52,-1902.1,-1163.7,-1763.05,-1106.19,46.9091,5547.62
0,21.18848,-1876.29,-1008.94,-1895.02,-1157.79,-1756.71,-1099.66,48.8776,5528.02
0,21.63584,-1886.7,-1017.33,-1905.55,-1167.16,-1766.33,-1108.65,51.1144,5558.58
0,21.84128,-1887.58,-1017.26,-1906.58,-1168.04,-1766.47,-1109.19,52.1416,5560.63
0,22.22388,-1878.04,-1007.91,-1897.24,-1159.66,-1756.18,-1100.5,54.0546,5531.46
0,22.60468,-1876.71,-1005.86,-1896.07,-1158.59,-1754.09,-1099.07,55.9586,5526.87
0,23.0583,-1875.73,-1004.13,-1895.24,-1157.83,-1752.35,-1097.95,58.2267,5523.32
0,23.45076,-1878.95,-1006.1,-1898.58,-1160.79,-1754.76,-1100.52,60.189,5532.29
0,23.80223,-1875.67,-1002.36,-1895.52,-1157.99,-1750.79,-1097.44,61.94635,5521.98
0,24.20834,-1873.38,-999.461,-1893.38,-1156.06,-1747.73,-1095.17,63.9769,5514.49
0,24.50418,-1883.84,-1008.69,-1902.91,-1164.94,-1758.02,-1103.42,65.4561,5544.77
0,24.8051,-1882.46,-1007.46,-1900.69,-1163.31,-1756.57,-1101.25,66.9607,5539.72
0,25.10682,-1871.91,-997.2,-1890.29,-1154.04,-1745.24,-1091.62,68.4693,5507.44
0,25.53723,-1883.49,-1007.42,-1900.93,-1163.91,-1756.65,-1100.85,70.62135,5541.07
0,25.98572,-1878.12,-1002.63,-1894.7,-1158.72,-1751.2,-1095.11,72.8638,5524.02
