hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar),No Load Scheduling,t(sec),t(sec)
0,8.82337,-1886.43,-1038.28,-1906.9,-1166.89,-1785.26,-1120.38,5578.59,15,0
0,8.83137,-1879.47,-1031.18,-1900.11,-1160.79,-1777.51,-1113.92,5557.09,15.008,0.16
0,8.84589,-1874.52,-1026.75,-1894.3,-1155.97,-1772.47,-1108.55,5541.29,15.02252,0.4504
0,8.85003,-1879.62,-1031.17,-1898.41,-1160.08,-1777.35,-1111.97,5555.38,15.02666,0.5332
0,8.86199,-1878.17,-1029.05,-1897.14,-1158.89,-1775.17,-1110.47,5550.48,15.03862,0.7724
0,8.86507,-1877.76,-1027.81,-1896.88,-1158.64,-1773.99,-1109.85,5548.63,15.0417,0.834
0,8.87303,-1875.49,-1024.92,-1894.78,-1156.72,-1770.96,-1107.6,5541.23,15.04966,0.9932
0,8.88521,-1883.83,-1031.47,-1903.27,-1164.27,-1778.51,-1114.77,5565.61,15.06184,1.2368
0,8.88626,-1874.99,-1023.55,-1893.55,-1155.98,-1769.56,-1105.91,5538.1,15.06289,1.2578
0,8.93431,-1875.24,-1022.89,-1893.93,-1156.29,-1769.02,-1105.85,5538.19,15.11094,2.2188
0,8.93487,-1880.46,-1026.64,-1899.27,-1161.04,-1773.43,-1110.2,5553.16,15.1115,2.23
0,8.94903,-1874.02,-1020.07,-1893.06,-1155.43,-1766.27,-1104.31,5533.35,15.12566,2.5132
0,8.96266,-1875.65,-1020.64,-1894.82,-1156.99,-1767.12,-1105.48,5537.59,15.13929,2.7858
0,8.96303,-1883.13,-1026.43,-1902.46,-1163.75,-1773.84,-1111.91,5559.43,15.13966,2.7932
0,8.96388,-1872.44,-1016.05,-1891.96,-1154.35,-1762.4,-1102.18,5526.8,15.14051,2.8102
0,8.97193,-1885.51,-1026.81,-1905.16,-1166.09,-1774.68,-1113.53,5565.35,15.14856,2.9712
0,8.97237,-1881.36,-1022.3,-1901.21,-1162.5,-1769.83,-1109.66,5552.4,15.149,2.98
0,8.97893,-1878.06,-1018.48,-1898.06,-1159.67,-1765.75,-1106.47,5541.87,15.15556,3.1112
0,8.9797,-1871.72,-1012.75,-1890.82,-1153.61,-1759.25,-1099.79,5521.79,15.15633,3.1266
