hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 36.61547, -1845.17, -1001.19, -1869.06, -1133.58, -1742.42, -1088.14
0, 36.66065, -1853, -1007.21, -1877.04, -1140.63, -1749.43, -1094.81
0, 36.71905, -1852.52, -1005.95, -1876.73, -1140.32, -1748.22, -1094.16
0, 36.76793, -1850.55, -1004.17, -1873.9, -1138.16, -1746.15, -1091.45
0, 36.81334, -1845.59, -998.927, -1869.07, -1133.86, -1740.44, -1086.79
0, 36.87764, -1850.67, -1002.47, -1874.24, -1138.46, -1744.64, -1090.94
0, 36.93933, -1849.18, -1000.33, -1872.96, -1137.25, -1742.45, -1089.45
0, 37.00661, -1842.14, -994.042, -1865.01, -1130.6, -1735.28, -1082.2
0, 37.06149, -1853.27, -1003, -1876.3, -1140.58, -1745.6, -1091.8
0, 37.12938, -1854.15, -1003.76, -1876.31, -1140.94, -1746.4, -1091.62
0, 37.18707, -1850.15, -999.378, -1872.46, -1137.49, -1741.66, -1087.83
0, 37.25707, -1851.19, -999.392, -1873.63, -1138.52, -1741.89, -1088.46
0, 37.31614, -1842.1, -990.489, -1864.71, -1130.58, -1732.05, -1080.19
0, 37.38157, -1850.59, -997.097, -1873.36, -1138.21, -1739.73, -1087.44
0, 37.45132, -1847.21, -994.115, -1869.12, -1134.8, -1736.29, -1083.51
0, 37.51667, -1845.24, -991.489, -1867.27, -1133.16, -1733.53, -1081.47
0, 37.58417, -1843.92, -989.452, -1866.1, -1132.1, -1731.44, -1080.05
0, 37.65339, -1845.66, -990.093, -1867.97, -1133.73, -1732.38, -1081.32
0, 37.72458, -1846.24, -989.754, -1868.73, -1134.36, -1732.22, -1081.61
0, 37.78333, -1843.37, -986.377, -1866.04, -1131.93, -1728.62, -1078.86
0, 37.83759, -1841.02, -984.254, -1862.81, -1129.44, -1726.14, -1075.8
0, 37.89398, -1851.12, -992.271, -1873.04, -1138.49, -1735.41, -1084.44
0, 37.92739, -1849.86, -990.335, -1871.96, -1137.49, -1733.44, -1083.12
0, 37.99525, -1849.43, -989.078, -1871.68, -1137.21, -1732.23, -1082.49
0, 38.06946, -1840.46, -980.301, -1862.89, -1129.39, -1722.53, -1074.34
0, 38.13718, -1840.32, -979.302, -1862.88, -1129.36, -1721.61, -1073.94
0, 38.18738, -1843.48, -981.204, -1866.18, -1132.26, -1723.98, -1076.46
0, 38.25755, -1849.51, -985.639, -1872.35, -1137.7, -1729.2, -1081.53
0, 38.32874, -1843.08, -979.147, -1866.14, -1132.13, -1722.09, -1075.69
0, 38.38797, -1849.32, -984.57, -1871.46, -1137.23, -1728.14, -1080.15
0, 38.45625, -1847.13, -981.83, -1869.46, -1135.41, -1725.26, -1078.03
0, 38.52986, -1847.83, -981.566, -1870.29, -1136.13, -1725.17, -1078.38
0, 38.61764, -1838.2, -972.231, -1860.85, -1127.73, -1714.82, -1069.67
0, 38.71597, -1841.04, -973.837, -1863.8, -1130.33, -1716.85, -1071.88
0, 38.79303, -1837.89, -970.251, -1860.86, -1127.67, -1713.01, -1068.93
0, 38.86428, -1846.41, -976.854, -1869.53, -1135.31, -1720.71, -1076.18
0, 38.92338, -1840.34, -970.67, -1863.63, -1130.05, -1713.92, -1070.61
0, 38.99387, -1841.37, -970.714, -1864.8, -1131.07, -1714.18, -1071.26
0, 39.06617, -1840.4, -969.833, -1862.98, -1129.81, -1713.11, -1069.45
0, 39.12700, -1845.46, -974.204, -1867.09, -1133.86, -1717.98, -1072.85
0, 39.18159, -1844.43, -972.478, -1866.24, -1133.06, -1716.23, -1071.74
0, 39.25809, -1835.7, -964.751, -1856.63, -1124.94, -1707.4, -1063.05
0, 39.31747, -1840.51, -968.901, -1860.51, -1128.76, -1712.03, -1066.24
0, 39.39006, -1836.32, -964.42, -1856.52, -1125.18, -1707.16, -1062.38
0, 39.46328, -1837.49, -964.557, -1857.81, -1126.32, -1707.53, -1063.12
0, 39.56148, -1846.32, -971.46, -1866.82, -1134.23, -1715.57, -1070.68
0, 39.63693, -1833.16, -959.063, -1853.84, -1122.72, -1701.73, -1058.89
0, 39.71403, -1834.53, -960.206, -1854.31, -1123.52, -1702.95, -1059.08
0, 39.79807, -1843.96, -967.627, -1863.89, -1131.95, -1711.58, -1067.13
0, 39.87864, -1833.05, -958.026, -1852.1, -1121.92, -1700.6, -1056.56
0, 39.96151, -1844.11, -967.671, -1862.24, -1131.27, -1711.46, -1065.26
0, 40.04885, -1836.8, -961.237, -1854.07, -1124.41, -1704.09, -1057.86
0, 40.13393, -1840.25, -963.378, -1857.62, -1127.55, -1706.73, -1060.59
0, 40.22861, -1836.34, -959.141, -1853.94, -1124.22, -1702.14, -1057
0, 40.29751, -1845.96, -966.701, -1863.69, -1132.82, -1710.93, -1065.2
0, 40.36206, -1832.2, -953.803, -1850.14, -1120.8, -1696.51, -1052.92
0, 40.42941, -1839.5, -959.325, -1857.57, -1127.34, -1702.99, -1059.06
0, 40.50261, -1842.68, -961.268, -1860.89, -1130.25, -1705.41, -1061.61
0, 40.58775, -1844.21, -962.589, -1861.57, -1131.2, -1706.84, -1062.01
0, 40.65635, -1831.44, -951.35, -1847.91, -1119.53, -1693.99, -1049.79
0, 40.74167, -1844.22, -962.485, -1859.76, -1130.39, -1706.55, -1059.98
0, 40.82751, -1836.77, -955.13, -1852.51, -1123.94, -1698.42, -1053.25
0, 40.92249, -1843.39, -960.07, -1859.28, -1129.88, -1704.24, -1058.82
0, 41.01751, -1839.95, -956.239, -1856.03, -1126.96, -1700.11, -1055.61
0, 41.13515, -1842.09, -958.049, -1857.27, -1128.43, -1702.09, -1056.47
0, 41.23203, -1837.54, -953.242, -1852.9, -1124.54, -1696.84, -1052.27
0, 41.32667, -1831.23, -946.828, -1846.73, -1119.09, -1689.77, -1046.47
0, 41.44240, -1838.24, -952.109, -1853.89, -1125.37, -1695.99, -1052.38
0, 41.55070, -1840.75, -953.462, -1856.54, -1127.68, -1697.74, -1054.34
0, 41.64602, -1837.74, -950.01, -1853.74, -1125.15, -1694.04, -1051.52
0, 41.76965, -1837.28, -948.74, -1853.42, -1124.84, -1692.81, -1050.87
0, 41.89235, -1831.25, -942.615, -1847.58, -1119.66, -1686.06, -1045.37
0, 42.00725, -1838.6, -948.189, -1855.08, -1126.23, -1692.61, -1051.57
0, 42.10435, -1828.32, -938.364, -1844.99, -1117.3, -1681.66, -1042.36
0, 42.19860, -1833.38, -941.91, -1850.15, -1121.85, -1685.9, -1046.49
