hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.00946, -1878.66, -1031.32, -1899.12, -1159.96, -1777.46, -1113.42
0, 8.03786, -1882.3, -1034.51, -1901.86, -1162.79, -1780.96, -1115.65
0, 8.08018, -1875.37, -1027.46, -1895.09, -1156.71, -1773.26, -1109.23
0, 8.17850, -1888, -1038.68, -1906.8, -1167.56, -1785.76, -1119.47
0, 8.18849, -1878.11, -1029.01, -1897.1, -1158.85, -1775.13, -1110.44
0, 8.18851, -1886.37, -1035.49, -1905.5, -1166.32, -1782.6, -1117.53
0, 8.26393, -1883.14, -1031.78, -1902.45, -1163.54, -1778.65, -1114.45
0, 8.26397, -1880.57, -1028.59, -1900.03, -1161.36, -1775.29, -1111.9
0, 8.26702, -1887.87, -1034.21, -1907.48, -1167.98, -1781.8, -1118.14
0, 8.27672, -1883.53, -1029.51, -1903.32, -1164.21, -1776.74, -1114.07
0, 8.45795, -1876.45, -1022.28, -1896.39, -1158.01, -1768.84, -1107.49
0, 8.52699, -1878.07, -1022.83, -1898.13, -1159.55, -1769.67, -1108.64
0, 8.57452, -1877.48, -1021.46, -1897.72, -1159.14, -1768.34, -1107.9
0, 8.57953, -1877.33, -1021.28, -1896.7, -1158.59, -1768.07, -1106.78
0, 8.57957, -1877.61, -1020.65, -1897.1, -1158.93, -1767.56, -1106.74
0, 8.57958, -1877.97, -1020.1, -1897.62, -1159.36, -1767.16, -1106.82
0, 8.57961, -1883.49, -1024.95, -1902.23, -1163.86, -1772.53, -1110.71
0, 8.58169, -1880.57, -1021.54, -1899.51, -1161.38, -1768.91, -1107.93
0, 8.58172, -1876.56, -1017.1, -1895.66, -1157.91, -1764.13, -1104.12
0, 8.58174, -1881.39, -1020.47, -1900.58, -1162.31, -1768.12, -1108.08
0, 8.58175, -1878.45, -1017.04, -1897.87, -1159.81, -1764.49, -1105.31
0, 8.58180, -1876.37, -1014.31, -1895.93, -1158.06, -1761.63, -1103.2
0, 8.58883, -1879.08, -1015.83, -1898.77, -1160.58, -1763.54, -1105.33
0, 8.59526, -1874.34, -1010.79, -1894.25, -1156.48, -1758.1, -1100.95
0, 8.59529, -1873.32, -1008.99, -1893.36, -1155.67, -1756.28, -1099.76
0, 8.59531, -1876.94, -1011.31, -1897.1, -1158.99, -1759.09, -1102.69
0, 8.59533, -1875.25, -1008.98, -1895.62, -1157.6, -1756.69, -1101.01
0, 8.59536, -1880.52, -1012.76, -1900.99, -1162.39, -1761.14, -1105.38
0, 8.59537, -1883.09, -1014.22, -1903.75, -1164.79, -1762.98, -1107.47
0, 8.59538, -1877.15, -1008.9, -1896.95, -1159.1, -1756.94, -1101.22
0, 8.59541, -1881.97, -1012.29, -1901.86, -1163.48, -1760.95, -1105.19
0, 8.59544, -1873.34, -1003.79, -1893.46, -1155.93, -1751.61, -1097.36
0, 8.59547, -1872.6, -1002.27, -1892.87, -1155.37, -1750.1, -1096.45
0, 8.59549, -1872.75, -1001.54, -1893.18, -1155.62, -1749.49, -1096.34
0, 8.59551, -1872.44, -1000.4, -1893.02, -1155.44, -1748.42, -1095.83
0, 8.59552, -1871.92, -999.902, -1891.65, -1154.58, -1747.79, -1094.4
0, 8.59554, -1875.08, -1001.81, -1894.89, -1157.48, -1750.14, -1096.89
0, 8.59557, -1873.91, -999.947, -1893.92, -1156.55, -1748.26, -1095.66
0, 8.59559, -1872.12, -997.501, -1892.3, -1155.07, -1745.71, -1093.85
0, 8.59560, -1873.76, -998.075, -1894.07, -1156.63, -1746.57, -1095.03
0, 8.59562, -1875.02, -998.334, -1895.49, -1157.86, -1747.07, -1095.91
0, 8.59564, -1872.34, -995.129, -1893.02, -1155.6, -1743.67, -1093.35
0, 8.59565, -1873.14, -994.954, -1893.95, -1156.41, -1743.68, -1093.78
0, 8.59567, -1871.12, -992.33, -1892.12, -1154.73, -1740.94, -1091.8
0, 8.59569, -1876.81, -997.285, -1896.87, -1159.36, -1746.44, -1095.78
0, 8.59572, -1878.98, -998.383, -1899.2, -1161.4, -1747.88, -1097.48
0, 8.59574, -1867.27, -987.152, -1887.71, -1151.12, -1735.45, -1086.92
0, 8.59575, -1878.12, -996.711, -1897.62, -1160.34, -1746.13, -1095.49
0, 8.59577, -1878.11, -995.872, -1897.77, -1160.43, -1745.39, -1095.26
0, 8.59579, -1867.17, -985.318, -1887.04, -1150.84, -1733.72, -1085.37
0, 8.59580, -1878.54, -995.331, -1897.46, -1160.51, -1744.92, -1094.39
0, 8.59582, -1881.13, -996.788, -1900.2, -1162.91, -1746.76, -1096.44
0, 8.59584, -1873.3, -989.002, -1892.59, -1156.08, -1738.22, -1089.32
0, 8.59585, -1880.69, -995.498, -1899.04, -1162.22, -1745.45, -1094.84
0, 8.59587, -1874.34, -989.019, -1892.88, -1156.68, -1738.37, -1088.99
0, 8.59589, -1869.75, -984.94, -1887.45, -1152.21, -1733.71, -1083.99
0, 8.59590, -1871.16, -986.106, -1887.91, -1153.03, -1734.94, -1084.16
0, 8.59592, -1870.06, -984.286, -1886.96, -1152.16, -1733.09, -1082.95
0, 8.59593, -1872.32, -985.42, -1889.36, -1154.27, -1734.58, -1084.69
0, 8.59595, -1875.38, -988.088, -1891.54, -1156.57, -1737.52, -1086.41
