hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.00972, -1882.43, -1034.7, -1902.89, -1163.32, -1781.24, -1116.79
0, 8.16093, -1882.05, -1033.49, -1902.67, -1163.08, -1780.1, -1116.2
0, 8.40535, -1881.61, -1032.21, -1902.38, -1162.79, -1778.88, -1115.56
0, 8.44438, -1881.38, -1031.13, -1902.3, -1162.69, -1777.87, -1115.1
0, 8.45663, -1881.32, -1031.03, -1901.38, -1162.23, -1777.7, -1114.07
0, 8.45665, -1881.29, -1030.96, -1900.44, -1161.78, -1777.54, -1113.03
0, 8.51255, -1881.06, -1029.89, -1900.34, -1161.68, -1776.53, -1112.54
0, 8.54443, -1880.99, -1029.77, -1899.39, -1161.2, -1776.34, -1111.49
0, 8.54445, -1880.96, -1029.7, -1898.46, -1160.75, -1776.18, -1110.45
0, 8.57407, -1880.76, -1028.65, -1898.38, -1160.68, -1775.2, -1109.99
0, 8.57410, -1880.58, -1027.61, -1898.36, -1160.62, -1774.25, -1109.59
0, 8.57411, -1880.4, -1026.58, -1898.34, -1160.57, -1773.3, -1109.18
0, 8.57413, -1880.22, -1025.55, -1898.32, -1160.52, -1772.36, -1108.78
0, 8.57897, -1880.04, -1024.52, -1898.3, -1160.46, -1771.41, -1108.37
0, 8.57899, -1879.86, -1023.48, -1898.28, -1160.41, -1770.46, -1107.97
0, 8.57902, -1879.82, -1023.4, -1897.37, -1159.96, -1770.3, -1106.96
0, 8.57903, -1879.79, -1023.33, -1896.44, -1159.52, -1770.15, -1105.92
0, 8.59840, -1879.74, -1023.25, -1895.49, -1159.06, -1769.97, -1104.86
0, 8.65397, -1879.51, -1022.17, -1895.39, -1158.95, -1768.96, -1104.38
0, 8.65399, -1879.33, -1021.14, -1895.36, -1158.9, -1768.01, -1103.98
0, 8.66767, -1879.13, -1020.09, -1895.33, -1158.83, -1767.05, -1103.56
0, 8.66770, -1878.95, -1019.06, -1895.31, -1158.78, -1766.1, -1103.16
0, 8.66772, -1878.77, -1018.04, -1895.29, -1158.73, -1765.16, -1102.76
0, 8.66773, -1878.73, -1017.96, -1894.38, -1158.28, -1765, -1101.75
0, 8.66776, -1878.7, -1017.89, -1893.45, -1157.84, -1764.84, -1100.71
0, 8.66778, -1878.54, -1016.87, -1893.41, -1157.79, -1763.9, -1100.28
0, 8.66779, -1878.49, -1016.79, -1892.5, -1157.35, -1763.74, -1099.27
0, 8.66781, -1878.46, -1016.72, -1891.57, -1156.91, -1763.58, -1098.24
0, 8.66784, -1878.3, -1015.7, -1891.53, -1156.86, -1762.64, -1097.81
