hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.60287, -1881.77, -1034.11, -1902.23, -1162.73, -1780.58, -1116.2
0, 8.64597, -1881.51, -1033, -1902.12, -1162.59, -1779.55, -1115.71
0, 8.70415, -1881.27, -1031.9, -1902.03, -1162.48, -1778.53, -1115.24
0, 8.76379, -1881.16, -1031.76, -1901.06, -1161.97, -1778.31, -1114.17
0, 8.81954, -1880.93, -1030.68, -1900.95, -1161.87, -1777.3, -1113.68
0, 8.90368, -1880.66, -1029.57, -1900.84, -1161.73, -1776.26, -1113.2
0, 8.99454, -1880.38, -1028.44, -1900.72, -1161.59, -1775.21, -1112.7
0, 9.10105, -1880.22, -1028.26, -1899.69, -1161.04, -1774.94, -1111.58
0, 9.16004, -1879.99, -1027.17, -1899.58, -1160.93, -1773.92, -1111.09
0, 9.22408, -1879.88, -1027.03, -1898.6, -1160.41, -1773.69, -1110.01
0, 9.27016, -1879.66, -1025.96, -1898.51, -1160.32, -1772.69, -1109.53
0, 9.34021, -1879.4, -1024.86, -1898.41, -1160.2, -1771.67, -1109.06
0, 9.41648, -1879.14, -1023.75, -1898.31, -1160.07, -1770.64, -1108.58
0, 9.48819, -1878.88, -1022.65, -1898.21, -1159.95, -1769.61, -1108.11
0, 9.55723, -1878.76, -1022.5, -1897.22, -1159.43, -1769.38, -1107.02
0, 9.61232, -1878.54, -1021.42, -1897.12, -1159.33, -1768.37, -1106.54
0, 9.67803, -1878.28, -1020.33, -1897.03, -1159.21, -1767.35, -1106.07
0, 9.74576, -1878.03, -1019.24, -1896.93, -1159.09, -1766.33, -1105.6
0, 9.82471, -1877.76, -1018.13, -1896.82, -1158.96, -1765.3, -1105.12
0, 9.88795, -1877.51, -1017.04, -1896.73, -1158.85, -1764.28, -1104.66
0, 9.98979, -1877.36, -1016.86, -1895.71, -1158.3, -1764.01, -1103.55
0, 10.04627, -1877.13, -1015.78, -1895.61, -1158.19, -1763, -1103.06
0, 10.10298, -1876.89, -1014.7, -1895.53, -1158.09, -1762, -1102.61
0, 10.16669, -1876.63, -1013.61, -1895.44, -1157.97, -1760.98, -1102.15
0, 10.24575, -1876.37, -1012.51, -1895.33, -1157.84, -1759.95, -1101.67
0, 10.30661, -1876.12, -1011.42, -1895.24, -1157.73, -1758.94, -1101.21
0, 10.39863, -1875.84, -1010.3, -1895.12, -1157.59, -1757.9, -1100.72
0, 10.47799, -1875.57, -1009.2, -1895.02, -1157.45, -1756.87, -1100.24
0, 10.55787, -1875.3, -1008.1, -1894.91, -1157.32, -1755.84, -1099.76
0, 10.62587, -1875.19, -1007.95, -1893.92, -1156.81, -1755.6, -1098.68
0, 10.71257, -1874.92, -1006.85, -1893.79, -1156.68, -1754.57, -1098.17
0, 10.78886, -1874.66, -1005.75, -1893.68, -1156.55, -1753.54, -1097.7
0, 10.86645, -1874.39, -1004.65, -1893.58, -1156.42, -1752.52, -1097.23
0, 10.93373, -1874.14, -1003.56, -1893.48, -1156.3, -1751.5, -1096.76
0, 10.99908, -1873.89, -1002.48, -1893.39, -1156.18, -1750.49, -1096.3
0, 11.07937, -1873.62, -1001.38, -1893.28, -1156.05, -1749.46, -1095.82
0, 11.14833, -1873.36, -1000.29, -1893.19, -1155.93, -1748.45, -1095.36
0, 11.21701, -1873.1, -999.2, -1893.09, -1155.81, -1747.43, -1094.9
0, 11.31000, -1872.96, -999.033, -1892.08, -1155.28, -1747.18, -1093.79
0, 11.37716, -1872.85, -998.894, -1891.08, -1154.77, -1746.94, -1092.69
0, 11.45195, -1872.6, -997.807, -1890.95, -1154.65, -1745.91, -1092.2
0, 11.53879, -1872.46, -997.644, -1889.95, -1154.11, -1745.67, -1091.1
0, 11.60281, -1872.36, -997.509, -1888.95, -1153.6, -1745.44, -1090
0, 11.67780, -1872.11, -996.422, -1888.82, -1153.48, -1744.41, -1089.51
0, 11.76302, -1871.83, -995.319, -1888.71, -1153.35, -1743.38, -1089.03
0, 11.87238, -1871.53, -994.194, -1888.57, -1153.19, -1742.33, -1088.53
0, 11.94156, -1871.27, -993.108, -1888.48, -1153.07, -1741.31, -1088.07
0, 12.00650, -1871.16, -992.967, -1887.5, -1152.56, -1741.08, -1086.99
0, 12.10459, -1870.88, -991.86, -1887.35, -1152.41, -1740.04, -1086.48
0, 12.20963, -1870.72, -991.68, -1886.33, -1151.87, -1739.76, -1085.37
0, 12.28629, -1870.6, -991.532, -1885.31, -1151.35, -1739.52, -1084.26
0, 12.37682, -1870.47, -991.372, -1884.28, -1150.82, -1739.26, -1083.14
0, 12.44245, -1870.23, -990.295, -1884.17, -1150.7, -1738.25, -1082.66
0, 12.53076, -1869.95, -989.192, -1884.05, -1150.57, -1737.21, -1082.18
0, 12.61758, -1869.67, -988.09, -1883.94, -1150.43, -1736.18, -1081.7
0, 12.68499, -1869.41, -987.009, -1883.85, -1150.31, -1735.17, -1081.25
