hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 5.05934, -1885.71, -1037.64, -1906.17, -1166.24, -1784.53, -1119.73
0, 5.18025, -1885.36, -1036.45, -1905.98, -1166.03, -1783.42, -1119.16
0, 5.18029, -1888.6, -1056.02, -1906.26, -1166.94, -1801.34, -1126.83
0, 5.18982, -1891.9, -1075.97, -1906.64, -1167.96, -1819.58, -1134.77
0, 5.25466, -1895.06, -1095.23, -1906.94, -1168.9, -1837.17, -1142.39
0, 5.25636, -1898.06, -1113.92, -1907.31, -1169.88, -1854.2, -1149.94
0, 5.26583, -1902.02, -1135.92, -1904.7, -1167.97, -1875.6, -1154.28
0, 5.34070, -1904.47, -1154.11, -1904.7, -1168.54, -1892.08, -1161.53
0, 5.39327, -1904.9, -1155.81, -1922.45, -1176.8, -1895.48, -1181.51
0, 5.40666, -1907.66, -1174.28, -1922.87, -1177.71, -1912.29, -1189.17
0, 5.40669, -1908.14, -1176.08, -1940.81, -1186.13, -1915.76, -1209.4
0, 5.40670, -1910.86, -1194.53, -1941.27, -1187.03, -1932.55, -1217.1
0, 5.41170, -1913.51, -1212.76, -1941.64, -1187.92, -1949.08, -1224.69
0, 5.41173, -1917.32, -1235.43, -1939.05, -1185.92, -1971.06, -1229.46
0, 5.41176, -1919.54, -1253.13, -1939.12, -1186.48, -1987.05, -1236.72
0, 5.41178, -1921.98, -1271.05, -1939.49, -1187.35, -2003.23, -1244.31
0, 5.41180, -1922.38, -1273.02, -1957.58, -1195.75, -2006.89, -1264.82
0, 5.41183, -1924.77, -1291, -1958.05, -1196.61, -2023.15, -1272.57
0, 5.41185, -1928.44, -1316.3, -1957.39, -1198.15, -2045.24, -1282.22
0, 5.41186, -1925.67, -1314.96, -1970.01, -1197.35, -2049.69, -1294.48
0, 5.41188, -1925.9, -1316.88, -1988.15, -1205.73, -2053.27, -1315.13
0, 5.41189, -1928.4, -1331.09, -1985.46, -1203.22, -2067.66, -1316.48
0, 5.41192, -1930.27, -1348.54, -1985.54, -1203.7, -2083.34, -1323.89
0, 5.41195, -1931.19, -1356.73, -1985.69, -1204.01, -2090.69, -1327.47
0, 5.41506, -1931.89, -1359.53, -2013.49, -1217.57, -2095.61, -1359.12
0, 5.41605, -1935.11, -1384.51, -2012.69, -1218.96, -2117.26, -1368.81
0, 5.41608, -1938.25, -1409.19, -2011.92, -1220.38, -2138.59, -1378.45
0, 5.41611, -1940.26, -1425.19, -2011.43, -1221.33, -2152.39, -1384.75
