hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.01004, -1888.78, -1040.39, -1909.25, -1168.98, -1787.62, -1122.48
0, 8.03795, -1881.82, -1050.83, -1899.33, -1160.78, -1795.33, -1121.03
0, 8.05389, -1892.02, -1076.87, -1906.57, -1167.94, -1820.4, -1135.05
0, 8.15618, -1890.58, -1076.41, -1922.38, -1174.59, -1821.42, -1153.09
0, 8.19105, -1894.46, -1096.9, -1923.54, -1176.2, -1840.29, -1161.77
0, 8.19108, -1901.99, -1119.63, -1928.51, -1181.27, -1861.84, -1173.44
0, 8.27510, -1891.14, -1111.31, -1934.97, -1179.47, -1853.99, -1183.38
0, 8.28614, -1900.91, -1138.57, -1938.32, -1182.78, -1881.3, -1193.09
0, 8.28616, -1898.31, -1152.29, -1933.21, -1178.71, -1892.86, -1195.73
0, 8.28617, -1901.56, -1171.19, -1934.05, -1180.03, -1910.13, -1203.75
0, 8.29640, -1907.57, -1192.44, -1937.79, -1183.94, -1930.02, -1214.35
0, 8.29643, -1907.75, -1208.43, -1935.71, -1182.6, -1944.09, -1219.71
0, 8.29646, -1914.07, -1215.51, -1959.75, -1196.55, -1953.31, -1245.57
0, 8.29649, -1908, -1229.58, -1947.21, -1185.48, -1965.78, -1241.45
0, 8.29650, -1921.46, -1257.39, -1958.75, -1196.35, -1992.96, -1259.13
0, 8.29653, -1911.39, -1248.91, -1972.02, -1193.32, -1989.82, -1273.58
0, 8.29657, -1914.61, -1252.49, -1983.76, -1200.23, -1994.42, -1286.2
0, 8.29658, -1918.49, -1256.71, -1996.26, -1207.73, -1999.76, -1299.53
0, 8.29660, -1908.33, -1248.48, -1994.49, -1202.39, -1991.29, -1300.01
0, 8.29661, -1910.24, -1265.99, -1994.35, -1202.66, -2007.1, -1307.12
0, 8.29663, -1912.37, -1268.66, -2005.11, -1208.66, -2010.66, -1318.93
0, 8.29664, -1916.45, -1272.31, -2026.07, -1221.26, -2015.42, -1341.66
0, 8.29665, -1918.4, -1288.76, -2025.23, -1221.82, -2029.74, -1347.75
0, 8.29667, -1927.85, -1310.89, -2031.2, -1229.47, -2049.99, -1359.61
0, 8.29669, -1924.23, -1339.82, -2023.61, -1219.5, -2078.09, -1365.64
0, 8.29724, -1930.21, -1351.53, -2027.9, -1224.55, -2088.99, -1372.55
