hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.01011, -1883.22, -1035.4, -1903.68, -1164.02, -1782.03, -1117.5
0, 8.16504, -1879.94, -1049.14, -1897.45, -1159.1, -1793.43, -1119.34
0, 8.19161, -1884.68, -1070.25, -1899.21, -1161.37, -1813.01, -1128.44
0, 8.19162, -1886.16, -1088.32, -1897.82, -1160.8, -1829.2, -1134.69
0, 8.19166, -1897.15, -1114.05, -1906.22, -1168.95, -1854.12, -1149.38
0, 8.19178, -1902.5, -1137.31, -1905.03, -1168.3, -1876.92, -1155.01
0, 8.19179, -1903.31, -1139.29, -1923.23, -1177.02, -1880.58, -1175.42
0, 8.19181, -1905.89, -1157.62, -1923.34, -1177.66, -1897.25, -1182.75
0, 8.19182, -1901.01, -1169.32, -1915.98, -1171.64, -1906.47, -1183.44
0, 8.19184, -1900.15, -1169.92, -1932.54, -1178.82, -1908.62, -1202.42
0, 8.19185, -1902.7, -1188.18, -1932.85, -1179.58, -1925.21, -1209.98
0, 8.19188, -1902.7, -1189.61, -1950.44, -1187.65, -1928.24, -1229.96
0, 8.19190, -1912.72, -1206.09, -1959.6, -1196.09, -1944.79, -1241.67
0, 8.19190, -1916.64, -1227.68, -1962.89, -1192.22, -1970.46, -1249.97
0, 8.19192, -1909.45, -1222.78, -1973.28, -1193.8, -1966.44, -1263.54
0, 8.19194, -1907.87, -1228.97, -1970.79, -1191.66, -1971.6, -1264.77
0, 8.19197, -1911.36, -1248.1, -1972.06, -1193.35, -1989.1, -1273.24
0, 8.19198, -1909.24, -1253.67, -1968.97, -1190.74, -1993.58, -1273.89
0, 8.19200, -1923.67, -1282.29, -1981.54, -1202.59, -2021.6, -1292.49
0, 8.19201, -1927.02, -1317.09, -1980.88, -1202.94, -2052.8, -1306.59
0, 8.20788, -1925.9, -1328.01, -1974.36, -1197.08, -2063.52, -1304.43
0, 8.24470, -1933.05, -1350.04, -1979.87, -1202.47, -2084.27, -1316.7
0, 8.24471, -1929.68, -1362.39, -1974.56, -1198.13, -2094.39, -1319.02
0, 8.24790, -1924.91, -1373.75, -1967.88, -1192.57, -2103.31, -1320.25
0, 8.24791, -1924.89, -1375.61, -1985.87, -1200.7, -2106.85, -1340.85
0, 8.24793, -1940.84, -1403.37, -1999.09, -1214.54, -2133.5, -1359.28
0, 8.24795, -1939.17, -1416.55, -1995.22, -1212.04, -2144.31, -1362.71
0, 8.24796, -1937.4, -1429.34, -1991.24, -1209.37, -2154.83, -1365.83
0, 8.24797, -1943.77, -1448.68, -1994.77, -1214.5, -2172.09, -1375.61
