hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 8.00960, -1875.4, -1028.09, -1899.38, -1160.5, -1772.69, -1115.12
0, 8.09753, -1886.13, -1037.14, -1906.76, -1166.73, -1784.19, -1119.86
0, 8.09755, -1883.42, -1051.46, -1901.12, -1162.34, -1796.22, -1122.29
0, 8.21794, -1886.74, -1055.23, -1921.64, -1173.26, -1801.94, -1144.53
0, 8.24475, -1891.96, -1060.8, -1944.31, -1186.14, -1809.54, -1168.86
0, 8.27310, -1890.48, -1076.47, -1940, -1182.8, -1823.12, -1172.56
0, 8.29601, -1888.89, -1075.85, -1955.86, -1189.55, -1823.85, -1190.75
0, 8.35902, -1897.54, -1100.84, -1961.87, -1195.44, -1847.72, -1203.89
0, 8.35904, -1898.95, -1117.47, -1966.35, -1192.94, -1867.24, -1213.6
0, 8.35905, -1891.99, -1129.48, -1952.74, -1181.05, -1877.66, -1207.89
0, 8.35907, -1904.15, -1156.83, -1962.54, -1190.35, -1904.27, -1224.16
0, 8.37133, -1904.43, -1173.2, -1960.41, -1188.96, -1918.74, -1229.55
0, 8.37236, -1904.21, -1188.99, -1957.83, -1187.18, -1932.57, -1234.51
0, 8.37239, -1904.5, -1205.13, -1955.84, -1185.91, -1946.79, -1239.96
0, 8.37241, -1915.66, -1242.51, -1959.51, -1189.77, -1983.24, -1254.08
0, 8.38353, -1918.9, -1261.23, -1960.72, -1191.33, -2000.33, -1262.45
0, 8.40508, -1913.95, -1272.67, -1953.57, -1185.41, -2009.32, -1263.3
0, 8.40510, -1913.06, -1287.34, -1950.56, -1183.23, -2021.98, -1267.69
0, 8.41270, -1923.51, -1298.35, -1979.21, -1201.06, -2035.6, -1297.88
0, 8.41275, -1923.97, -1300.47, -1997.68, -1209.74, -2039.37, -1318.87
0, 8.41276, -1921.33, -1298.39, -2011.77, -1215.83, -2038.01, -1335.37
0, 8.42140, -1919.3, -1296.36, -2026.21, -1222.65, -2036.54, -1352.03
0, 8.42143, -1923.72, -1302.85, -2056.75, -1233.26, -2050.44, -1383.2
0, 8.42145, -1926.55, -1312.21, -2058.14, -1235.31, -2058.88, -1387.65
0, 8.42146, -1924.68, -1310.29, -2072.8, -1242.48, -2057.4, -1404.59
0, 8.42410, -1925.37, -1310.35, -2090.07, -1252.24, -2057.96, -1423.86
0, 8.42414, -1925.61, -1334.54, -2087.49, -1246.52, -2082.69, -1430.63
0, 8.42415, -1929.34, -1352.55, -2088.43, -1248.79, -2098.67, -1438.35
0, 8.42417, -1932.27, -1369.75, -2088.66, -1250.39, -2113.76, -1445.4
0, 8.42418, -1935, -1378.91, -2090.08, -1252.45, -2121.99, -1449.87
0, 8.42421, -1928.75, -1388.9, -2081.9, -1245.35, -2129.58, -1449.64
0, 8.42424, -1936.1, -1401.54, -2087.51, -1251.83, -2141.4, -1457.68
0, 8.42425, -1931.6, -1404.96, -2082.27, -1247.01, -2143.67, -1456.34
0, 8.42426, -1935.35, -1422.32, -2083.37, -1249.46, -2159, -1463.94
0, 8.42427, -1942.33, -1442.34, -2087.53, -1255.14, -2177, -1474.34
0, 8.42429, -1932.25, -1441.49, -2077.23, -1245.04, -2174.82, -1468.67
0, 8.42431, -1937.04, -1459.61, -2079.45, -1248.65, -2190.9, -1477.3
0, 8.42433, -1939.33, -1460.6, -2081.64, -1250.88, -2192.06, -1478.83
0, 8.42434, -1946.77, -1466.19, -2096.51, -1262.41, -2198.08, -1493.82
0, 8.42436, -1934.82, -1457, -2093.58, -1255.25, -2188.86, -1493.46
0, 8.42437, -1943.7, -1478.16, -2099.65, -1262.86, -2208.08, -1505.41
0, 8.42439, -1950.38, -1497.29, -2103.71, -1268.38, -2225.24, -1515.44
0, 8.42440, -1945.36, -1515.07, -2096.06, -1262.27, -2239.6, -1518.99
0, 8.42442, -1943.48, -1535.08, -2091.35, -1259.25, -2256.26, -1525.02
0, 8.42443, -1950.15, -1546.84, -2096.56, -1265.35, -2267.11, -1532.68
0, 8.42445, -1956.1, -1558, -2101.15, -1270.8, -2277.33, -1539.81
0, 8.42448, -1952.23, -1569.12, -2095.78, -1266.38, -2286.17, -1541.84
0, 8.42450, -1956.46, -1572.42, -2107.68, -1274.74, -2289.84, -1554.32
0, 8.42451, -1948.22, -1572.69, -2099.32, -1266.46, -2288.95, -1550.21
0, 8.42453, -1953.04, -1590.34, -2101.95, -1270.48, -2304.49, -1559.14
0, 8.42455, -1948.74, -1587.34, -2114.68, -1275.25, -2301.96, -1574.76
0, 8.42457, -1949.15, -1594.24, -2114.41, -1275.42, -2307.85, -1577.7
0, 8.42458, -1949.24, -1607.95, -2112.83, -1274.92, -2319.42, -1582.86
0, 8.42471, -1964.31, -1633.49, -2123.01, -1287.4, -2343.36, -1597.62
0, 8.42473, -1968.69, -1650.01, -2125.39, -1291.11, -2357.85, -1606
0, 8.42474, -1968.61, -1676.54, -2122.12, -1290.04, -2380.08, -1615.95
0, 8.42476, -1966.64, -1679.19, -2165.5, -1304.31, -2390.69, -1663.68
0, 8.42478, -1959.37, -1721.22, -2153.85, -1296.22, -2424.65, -1676.82
0, 8.42480, -1970.76, -1741.98, -2162.96, -1307.13, -2443.44, -1690.67
0, 8.42481, -1969.12, -1743.1, -2216.92, -1335.07, -2446.34, -1753.35
0, 8.42483, -1970.51, -1744.44, -2225.09, -1340.2, -2447.83, -1762.46
0, 8.42484, -1974.29, -1765.88, -2226.92, -1343.63, -2466.23, -1773.19
0, 8.42486, -1970.89, -1769.23, -2223.55, -1340.33, -2468.61, -1773.24
0, 8.42488, -1972.02, -1776.18, -2224.12, -1341.39, -2474.56, -1776.76
0, 8.42490, -1970.95, -1788.08, -2222.31, -1340.38, -2484.31, -1781.55
0, 8.42492, -1972.18, -1794.87, -2223.01, -1341.57, -2490.13, -1785.08
0, 8.42494, -1979.1, -1812.27, -2228.21, -1348.34, -2505.39, -1795.65
0, 8.42496, -1976.93, -1811.42, -2240.93, -1354.16, -2504.88, -1811.04
0, 8.42498, -1969.37, -1818.04, -2233.65, -1346.87, -2509.51, -1810.94
0, 8.42499, -1970.61, -1824.88, -2234.34, -1348.05, -2515.38, -1814.47
0, 8.42519, -1968.92, -1829.36, -2232.51, -1346.44, -2518.89, -1815.79
0, 8.42521, -1975.06, -1833.32, -2237.87, -1352.39, -2522.91, -1820.06
0, 8.42523, -1970.85, -1842.2, -2233.55, -1348.42, -2529.79, -1822.41
0, 8.42524, -1970.52, -1842.47, -2240.08, -1351.78, -2530.2, -1830.16
0, 8.42526, -1980.62, -1855.68, -2248.57, -1361.75, -2542.31, -1840.36
0, 8.42527, -1972.59, -1850.12, -2248.44, -1357.65, -2536.96, -1842.36
0, 8.42529, -1983.02, -1863.68, -2257.21, -1367.9, -2549.43, -1852.83
0, 8.42531, -1981.1, -1867.91, -2255.26, -1366.1, -2552.72, -1854.02
0, 8.42532, -1981.06, -1879.88, -2254.57, -1366.18, -2562.65, -1859.47
0, 8.42534, -1977.16, -1882.61, -2250.92, -1362.45, -2564.47, -1859.18
0, 8.42535, -1982.27, -1891.84, -2256.28, -1367.85, -2573.04, -1866.71
0, 8.42547, -1976.02, -1887.71, -2257.11, -1365.25, -2568.99, -1869.47
0, 8.42549, -1982.01, -1897.52, -2263.37, -1371.55, -2578.16, -1877.76
0, 8.42552, -1972.54, -1896.2, -2254.48, -1362.22, -2575.91, -1872.94
0, 8.42554, -1977.5, -1901.72, -2289.28, -1383.38, -2582.23, -1912.11
0, 8.42555, -1969.25, -1907.48, -2282.17, -1375.61, -2586.27, -1912.08
0, 8.42557, -1981.36, -1916.61, -2300.75, -1391.64, -2595.63, -1930.28
0, 8.42559, -1970.58, -1912.31, -2341.75, -1408.85, -2592.07, -1981.57
0, 8.42560, -1971.34, -1913.32, -2349.07, -1413.28, -2593.15, -1989.96
0, 8.42562, -1977.17, -1940.74, -2356.63, -1420.35, -2617.47, -2008.7
0, 8.42564, -1972.08, -1948.68, -2352.74, -1415.8, -2623.79, -2011.42
0, 8.42565, -1976.69, -1963.47, -2358.26, -1421.23, -2636.97, -2022.3
0, 8.42567, -1975.67, -1964.27, -2378.43, -1431.92, -2637.96, -2046.39
0, 8.42569, -1973.42, -1968.05, -2376.79, -1429.96, -2640.99, -2047.83
0, 8.42570, -1970.94, -1971.71, -2374.91, -1427.75, -2643.9, -2049.07
0, 8.42572, -1969.54, -1976.13, -2374.06, -1426.63, -2647.57, -2051.2
0, 8.42573, -1965.11, -1978.36, -2370.31, -1422.42, -2649.05, -2050.79
0, 8.42575, -1967.04, -1985.35, -2372.71, -1424.76, -2655.25, -2055.86
0, 8.42576, -1961.81, -1992.94, -2368.75, -1420.11, -2661.26, -2058.42
0, 8.42578, -1961.58, -1998.09, -2369.06, -1420.22, -2665.66, -2061.51
0, 8.42579, -1967.59, -2044.07, -2379.39, -1429.6, -2705.55, -2092.89
0, 8.42581, -1968.42, -2046.43, -2401, -1442.06, -2708.01, -2118.3
0, 8.42583, -1962.39, -2058.46, -2396.84, -1436.88, -2717.82, -2123.34
0, 8.42584, -1961.14, -2062.74, -2396.22, -1435.99, -2721.36, -2125.57
0, 8.42585, -1960.49, -2067.44, -2396.16, -1435.7, -2725.32, -2128.28
0, 8.42587, -1964.97, -2071.26, -2406.97, -1443.92, -2729.15, -2139.78
0, 8.42588, -1959.05, -2068.27, -2414.97, -1445.4, -2726.31, -2151.08
0, 8.42590, -1955.54, -2071.08, -2412.28, -1442.24, -2728.38, -2151.6
0, 8.42591, -1965.16, -2082.96, -2422.12, -1452.63, -2739.4, -2162.93
0, 8.42593, -1957.12, -2088.55, -2415.74, -1445.24, -2743.44, -2163.45
0, 8.42595, -1960.16, -2091.34, -2424.97, -1451.92, -2746.2, -2173.56
0, 8.42596, -1957.33, -2100.02, -2423.56, -1449.89, -2753.36, -2178.1
0, 8.42598, -1953.52, -2097.99, -2426.21, -1449.46, -2751.39, -2182.47
0, 8.42600, -1957.63, -2105.92, -2430.77, -1454.15, -2758.53, -2189.17
0, 8.42601, -1957.88, -2110.95, -2431.59, -1454.8, -2762.86, -2192.49
