hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 21.32701, -1866.95, -1020.55, -1890.91, -1152.95, -1764.23, -1107.56
0, 21.37741, -1868.48, -1021, -1892.55, -1154.41, -1764.95, -1108.62
0, 21.43813, -1863.78, -1015.99, -1888.05, -1150.33, -1759.54, -1104.25
0, 21.49977, -1864.76, -1016.78, -1888.11, -1150.79, -1760.34, -1104.08
0, 21.55723, -1860.49, -1012.15, -1884, -1147.09, -1755.35, -1100.05
0, 21.61639, -1861.46, -1012.09, -1885.09, -1148.06, -1755.49, -1100.61
0, 21.67526, -1860.14, -1010.06, -1883.95, -1146.99, -1753.43, -1099.22
0, 21.74197, -1860.57, -1010.39, -1883.5, -1146.96, -1753.73, -1098.6
0, 21.79653, -1860.42, -1009.38, -1883.47, -1146.93, -1752.8, -1098.19
0, 21.88418, -1865.45, -1013.78, -1887.61, -1150.99, -1757.67, -1101.64
0, 21.95339, -1866.38, -1013.76, -1888.7, -1151.92, -1757.85, -1102.23
0, 22.03017, -1868.36, -1014.64, -1890.83, -1153.79, -1759.06, -1103.75
0, 22.10282, -1861.06, -1007.3, -1883.71, -1147.4, -1751.02, -1097.04
0, 22.15888, -1859.34, -1004.91, -1882.14, -1145.98, -1748.54, -1095.26
0, 22.21843, -1865.86, -1010.62, -1887.77, -1151.37, -1754.89, -1100.04
0, 22.27328, -1868.11, -1011.75, -1890.15, -1153.46, -1756.36, -1101.77
0, 22.32861, -1862.1, -1005.56, -1884.33, -1148.23, -1749.62, -1096.22
0, 22.38828, -1861.98, -1004.59, -1884.35, -1148.23, -1748.73, -1095.85
0, 22.44792, -1870.8, -1011.53, -1893.35, -1156.19, -1756.76, -1103.46
0, 22.50390, -1866.41, -1006.81, -1889.14, -1152.38, -1751.67, -1099.36
0, 22.55475, -1858.18, -999.441, -1879.99, -1144.66, -1743.29, -1091.01
0, 22.60429, -1859.22, -999.472, -1881.15, -1145.68, -1743.53, -1091.64
0, 22.65561, -1868.49, -1006.82, -1890.61, -1154.04, -1752.02, -1099.66
0, 22.70937, -1867.57, -1005.18, -1889.86, -1153.33, -1750.38, -1098.63
0, 22.80150, -1857.26, -995.164, -1879.72, -1144.27, -1739.32, -1089.24
0, 22.87605, -1858.58, -995.44, -1881.16, -1145.54, -1739.84, -1090.12
0, 22.95706, -1867.06, -1002.08, -1889.82, -1153.19, -1747.54, -1097.42
0, 23.04146, -1859.73, -994.75, -1882.67, -1146.79, -1739.5, -1090.71
0, 23.11518, -1854.23, -989.005, -1877.31, -1142.01, -1733.23, -1085.57
0, 23.19123, -1859.39, -993.494, -1881.55, -1146.17, -1738.21, -1089.1
0, 23.26842, -1861.29, -994.336, -1883.61, -1147.96, -1739.37, -1090.55
0, 23.35049, -1862.92, -994.916, -1885.4, -1149.52, -1740.24, -1091.76
0, 23.42706, -1856.82, -988.665, -1879.49, -1144.21, -1733.41, -1086.15
0, 23.51070, -1864.51, -994.591, -1887.33, -1151.15, -1740.3, -1092.71
0, 23.59881, -1862.61, -992.078, -1885.6, -1149.56, -1737.68, -1090.81
0, 23.69059, -1852.34, -982.13, -1875.5, -1140.57, -1726.67, -1081.48
0, 23.75412, -1857.23, -985.54, -1880.48, -1144.99, -1730.73, -1085.48
0, 23.83366, -1856.95, -984.478, -1880.41, -1144.87, -1729.74, -1085.07
0, 23.91559, -1863.02, -989.761, -1885.56, -1149.83, -1735.63, -1089.41
0, 23.99926, -1860.93, -987.932, -1882.64, -1147.58, -1733.49, -1086.64
0, 24.07435, -1864.67, -990.334, -1886.47, -1151, -1736.39, -1089.62
0, 24.16497, -1863.44, -989.245, -1884.41, -1149.5, -1735.1, -1087.62
0, 24.25270, -1853.79, -980.66, -1873.84, -1140.52, -1725.34, -1078.04
0, 24.33891, -1863.44, -988.301, -1883.63, -1149.19, -1734.17, -1086.31
0, 24.41705, -1850.48, -976.029, -1870.86, -1137.81, -1720.53, -1074.65
0, 24.47228, -1854.02, -978.255, -1874.5, -1141.04, -1723.25, -1077.46
0, 24.56969, -1863.69, -985.942, -1884.36, -1149.73, -1732.14, -1085.82
0, 24.65278, -1859.15, -981.945, -1878.99, -1145.3, -1727.57, -1080.89
0, 24.74045, -1851.24, -974.077, -1871.2, -1138.39, -1718.88, -1073.6
0, 24.85018, -1850.9, -973.733, -1869.97, -1137.68, -1718.41, -1072.31
0, 24.91756, -1850.49, -973.326, -1868.66, -1136.91, -1717.87, -1070.94
0, 25.01017, -1859.73, -981.418, -1876.98, -1144.68, -1726.93, -1078.07
0, 25.09326, -1856.64, -977.871, -1874.07, -1142.05, -1723.14, -1075.14
0, 25.17752, -1861.89, -981.599, -1879.43, -1146.8, -1727.55, -1079.47
0, 25.25370, -1860.33, -979.412, -1878.08, -1145.54, -1725.3, -1077.94
0, 25.33906, -1860.16, -978.402, -1878.07, -1145.5, -1724.37, -1077.54
0, 25.45709, -1859.24, -976.738, -1877.32, -1144.79, -1722.71, -1076.51
