hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, VN, VNAngle, I1, IAngle1, I2, IAngle2, I3, IAngle3, IN, INAngle
0, 0.00200, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.3664, -107.05, 638.49, -4.08527, 334.138, -106.721, 434.443, 120.795, 318.406, 1.38469
0, 0.00300, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36638, -107.05, 638.508, -4.08566, 334.143, -106.722, 434.46, 120.795, 318.405, 1.38544
0, 0.00400, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36637, -107.049, 638.526, -4.08605, 334.149, -106.723, 434.477, 120.795, 318.403, 1.3862
0, 0.00500, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36636, -107.048, 638.544, -4.08644, 334.154, -106.725, 434.494, 120.796, 318.402, 1.38696
0, 0.00600, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36635, -107.047, 638.562, -4.08683, 334.16, -106.726, 434.511, 120.796, 318.4, 1.38771
0, 0.00700, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36634, -107.046, 638.58, -4.08722, 334.165, -106.727, 434.528, 120.797, 318.399, 1.38847
0, 0.00800, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36633, -107.046, 638.597, -4.08761, 334.17, -106.728, 434.545, 120.797, 318.397, 1.38922
0, 0.00900, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36632, -107.045, 638.615, -4.088, 334.176, -106.729, 434.562, 120.797, 318.396, 1.38998
0, 0.01000, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36631, -107.044, 638.633, -4.08839, 334.181, -106.73, 434.579, 120.798, 318.394, 1.39074
0, 0.01100, 2397.71, 29.9152, 2400.16, -90.06, 2399.3, 149.932, 2.36629, -107.043, 638.651, -4.08878, 334.186, -106.731, 434.596, 120.798, 318.392, 1.39149
0, 0.01200, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36628, -107.043, 638.669, -4.08917, 334.192, -106.733, 434.612, 120.799, 318.391, 1.39225
0, 0.01300, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36627, -107.042, 638.687, -4.08956, 334.197, -106.734, 434.629, 120.799, 318.389, 1.393
0, 0.01400, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36626, -107.041, 638.704, -4.08995, 334.202, -106.735, 434.646, 120.799, 318.388, 1.39376
0, 0.01500, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36625, -107.04, 638.722, -4.09034, 334.208, -106.736, 434.663, 120.8, 318.386, 1.39452
0, 0.01600, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36624, -107.04, 638.74, -4.09072, 334.213, -106.737, 434.68, 120.8, 318.385, 1.39527
0, 0.01700, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36623, -107.039, 638.758, -4.09111, 334.218, -106.738, 434.697, 120.8, 318.383, 1.39603
0, 0.01800, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36621, -107.038, 638.776, -4.0915, 334.224, -106.739, 434.714, 120.801, 318.382, 1.39678
0, 0.01900, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.3662, -107.037, 638.794, -4.09189, 334.229, -106.741, 434.731, 120.801, 318.38, 1.39754
0, 0.02000, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36619, -107.037, 638.811, -4.09228, 334.235, -106.742, 434.748, 120.802, 318.379, 1.39829
0, 0.02100, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36618, -107.036, 638.829, -4.09267, 334.24, -106.743, 434.765, 120.802, 318.377, 1.39905
0, 0.02200, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36617, -107.035, 638.847, -4.09306, 334.245, -106.744, 434.781, 120.802, 318.376, 1.3998
0, 0.02300, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36616, -107.034, 638.865, -4.09345, 334.251, -106.745, 434.798, 120.803, 318.374, 1.40056
0, 0.02400, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36615, -107.034, 638.883, -4.09384, 334.256, -106.746, 434.815, 120.803, 318.373, 1.40132
0, 0.02500, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36614, -107.033, 638.901, -4.09423, 334.261, -106.747, 434.832, 120.804, 318.371, 1.40207
0, 0.02600, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36612, -107.032, 638.918, -4.09462, 334.267, -106.748, 434.849, 120.804, 318.37, 1.40283
0, 0.02700, 2397.71, 29.9151, 2400.16, -90.06, 2399.3, 149.932, 2.36611, -107.031, 638.936, -4.09501, 334.272, -106.75, 434.866, 120.804, 318.368, 1.40358
