hour, t(sec), V1, VAngle1, VN, VNAngle, I1, IAngle1, IN, INAngle
0, 1.00000, 2328.47, 154.737, 2328.47, 154.737, 78.2896, -50.4638, 78.2896, -50.4638
0, 0.00000, 2322.14, 154.596, 2322.14, 154.596, 78.2799, -50.6051, 78.2799, -50.6051
0, 0.00000, 2322.14, 154.596, 2322.14, 154.596, 78.2799, -50.6051, 78.2799, -50.6051
0, 0.00101, 2322.14, 154.599, 2322.14, 154.599, 78.2853, -50.6018, 78.2853, -50.6018
0, 0.00101, 2322.14, 154.599, 2322.14, 154.599, 78.2853, -50.6018, 78.2853, -50.6018
0, 0.00201, 2322.14, 154.599, 2322.14, 154.599, 78.2844, -50.6024, 78.2844, -50.6024
0, 0.00201, 2322.14, 154.599, 2322.14, 154.599, 78.2844, -50.6024, 78.2844, -50.6024
0, 0.00301, 2322.14, 154.599, 2322.14, 154.599, 78.2846, -50.6023, 78.2846, -50.6023
0, 0.00301, 2322.14, 154.599, 2322.14, 154.599, 78.2846, -50.6023, 78.2846, -50.6023
0, 0.00401, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00401, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00501, 2322.12, 154.598, 2322.12, 154.598, 78.2845, -50.6028, 78.2845, -50.6028
0, 0.00501, 2322.12, 154.598, 2322.12, 154.598, 78.2845, -50.6028, 78.2845, -50.6028
0, 0.00601, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00601, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00701, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00701, 2322.12, 154.598, 2322.12, 154.598, 78.2846, -50.6028, 78.2846, -50.6028
0, 0.00801, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.00801, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.00901, 2322.08, 154.597, 2322.08, 154.597, 78.2845, -50.6038, 78.2845, -50.6038
0, 0.00901, 2322.08, 154.597, 2322.08, 154.597, 78.2845, -50.6038, 78.2845, -50.6038
0, 0.01001, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.01001, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.01101, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.01101, 2322.08, 154.597, 2322.08, 154.597, 78.2846, -50.6037, 78.2846, -50.6037
0, 0.01201, 2322.04, 154.597, 2322.04, 154.597, 78.2846, -50.6045, 78.2846, -50.6045
0, 0.01201, 2322.04, 154.597, 2322.04, 154.597, 78.2846, -50.6045, 78.2846, -50.6045
0, 0.01301, 2322.04, 154.597, 2322.04, 154.597, 78.2845, -50.6045, 78.2845, -50.6045
0, 0.01301, 2322.04, 154.597, 2322.04, 154.597, 78.2845, -50.6045, 78.2845, -50.6045
0, 0.01401, 2322.04, 154.597, 2322.04, 154.597, 78.2846, -50.6045, 78.2846, -50.6045
0, 0.01401, 2322.04, 154.597, 2322.04, 154.597, 78.2846, -50.6045, 78.2846, -50.6045
