hour, t(sec), V1, VAngle1, V2, VAngle2, VN, VNAngle, I1, IAngle1, I2, IAngle2, IN, INAngle
0, 1.00000, 2404.13, 152.521, 2367.13, -86.1262, 2336.91, -147.594, 43.7778, 13.7946, 75.6765, 126.486, 71.3259, 91.9958
0, 0.00000, 2397.91, 152.368, 2362.45, -86.3002, 2332.31, -147.725, 43.6401, 13.6303, 75.5053, 126.323, 71.1553, 91.8635
0, 0.00000, 2397.91, 152.368, 2362.45, -86.3002, 2332.31, -147.725, 43.6401, 13.6303, 75.5053, 126.323, 71.1553, 91.8635
0, 0.00101, 2397.91, 152.37, 2362.49, -86.3015, 2332.44, -147.724, 43.6382, 13.633, 75.506, 126.323, 71.1575, 91.8658
0, 0.00101, 2397.91, 152.37, 2362.49, -86.3015, 2332.44, -147.724, 43.6382, 13.633, 75.506, 126.323, 71.1575, 91.8658
0, 0.00201, 2397.91, 152.369, 2362.48, -86.3014, 2332.42, -147.725, 43.6386, 13.6326, 75.5059, 126.323, 71.1572, 91.8653
0, 0.00201, 2397.91, 152.369, 2362.48, -86.3014, 2332.42, -147.725, 43.6386, 13.6326, 75.5059, 126.323, 71.1572, 91.8653
0, 0.00301, 2397.91, 152.369, 2362.48, -86.3014, 2332.42, -147.725, 43.6385, 13.6326, 75.5059, 126.323, 71.1572, 91.8654
0, 0.00301, 2397.91, 152.369, 2362.48, -86.3014, 2332.42, -147.725, 43.6385, 13.6326, 75.5059, 126.323, 71.1572, 91.8654
0, 0.00401, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1567, 91.8649
0, 0.00401, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1567, 91.8649
0, 0.00501, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00501, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00601, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00601, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00701, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00701, 2397.89, 152.369, 2362.46, -86.302, 2332.41, -147.725, 43.638, 13.6321, 75.5053, 126.323, 71.1566, 91.8649
0, 0.00801, 2397.84, 152.368, 2362.43, -86.3033, 2332.38, -147.726, 43.637, 13.6311, 75.5041, 126.322, 71.1556, 91.864
0, 0.00801, 2397.84, 152.368, 2362.43, -86.3033, 2332.38, -147.726, 43.637, 13.6311, 75.5041, 126.322, 71.1556, 91.864
0, 0.00901, 2397.84, 152.368, 2362.43, -86.3032, 2332.37, -147.726, 43.637, 13.631, 75.5041, 126.322, 71.1555, 91.864
0, 0.00901, 2397.84, 152.368, 2362.43, -86.3032, 2332.37, -147.726, 43.637, 13.631, 75.5041, 126.322, 71.1555, 91.864
0, 0.01001, 2397.84, 152.368, 2362.43, -86.3032, 2332.38, -147.726, 43.637, 13.631, 75.5041, 126.322, 71.1555, 91.864
0, 0.01001, 2397.84, 152.368, 2362.43, -86.3032, 2332.38, -147.726, 43.637, 13.631, 75.5041, 126.322, 71.1555, 91.864
0, 0.01101, 2397.84, 152.368, 2362.43, -86.3032, 2332.38, -147.726, 43.637, 13.631, 75.5041, 126.322, 71.1555, 91.864
