hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, VN, VNAngle, I1, IAngle1, I2, IAngle2, I3, IAngle3, IN, INAngle
0, 1.00000, 2402.18, 30.0969, 2401.66, -89.8718, 2401.98, 150.106, 1.30023, 3.9084, 473, -142.685, 628.998, 105.804, 505.851, -18.0425, 174.95, 112.343
0, 0.00000, 2402, 30.0915, 2401.49, -89.8776, 2401.79, 150.1, 1.29181, 4.07852, 445.3, -140.426, 601.61, 107.763, 477.868, -15.6202, 173.817, 112.513
0, 0.00000, 2402, 30.0915, 2401.49, -89.8776, 2401.79, 150.1, 1.29181, 4.07852, 445.3, -140.426, 601.61, 107.763, 477.868, -15.6202, 173.817, 112.513
0, 0.00101, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29065, 4.01783, 445.266, -140.425, 601.495, 107.759, 477.992, -15.6152, 173.662, 112.453
0, 0.00101, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29065, 4.01783, 445.266, -140.425, 601.495, 107.759, 477.992, -15.6152, 173.662, 112.453
0, 0.00201, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29078, 4.03296, 445.284, -140.425, 601.51, 107.76, 477.967, -15.6162, 173.679, 112.468
0, 0.00201, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29078, 4.03296, 445.284, -140.425, 601.51, 107.76, 477.967, -15.6162, 173.679, 112.468
0, 0.00301, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29078, 4.02971, 445.279, -140.425, 601.509, 107.76, 477.972, -15.616, 173.679, 112.465
0, 0.00301, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29078, 4.02971, 445.279, -140.425, 601.509, 107.76, 477.972, -15.616, 173.679, 112.465
0, 0.00401, 2402, 30.0915, 2401.49, -89.8777, 2401.79, 150.1, 1.29072, 4.03016, 445.182, -140.416, 601.409, 107.767, 477.874, -15.6067, 173.67, 112.465
