hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 1.00000, 2000.14, 179.996, 0, 0
0, 0.00000, 1999.86, -179.999, 0, 0
0, 0.00000, 1999.86, -179.999, 0, 0
0, 0.00101, 2000.03, -180, 0, 0
0, 0.00101, 2000.03, -180, 0, 0
0, 0.00201, 2000, 180, 0, 0
0, 0.00201, 2000, 180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02000, 2000, -180, 0, 0
0, 0.02101, 831.932, 179.995, 0, 0
0, 0.02101, 831.932, 179.995, 0, 0
0, 0.02201, 831.876, -179.999, 0, 0
0, 0.02201, 831.876, -179.999, 0, 0
0, 0.02301, 831.903, 180, 0, 0
0, 0.02301, 831.903, 180, 0, 0
0, 0.02401, 831.892, -180, 0, 0
0, 0.02401, 831.892, -180, 0, 0
0, 0.02501, 831.896, -180, 0, 0
0, 0.02501, 831.896, -180, 0, 0
0, 0.02601, 831.895, 180, 0, 0
0, 0.02601, 831.895, 180, 0, 0
0, 0.02701, 831.895, -180, 0, 0
0, 0.02701, 831.895, -180, 0, 0
0, 0.02801, 831.894, -180, 0, 0
0, 0.02801, 831.894, -180, 0, 0
0, 0.02901, 831.895, 180, 0, 0
0, 0.02901, 831.895, 180, 0, 0
0, 0.03001, 831.895, -180, 0, 0
0, 0.03001, 831.895, -180, 0, 0
0, 0.03101, 831.895, 180, 0, 0
0, 0.03101, 831.895, 180, 0, 0
0, 0.03201, 831.895, -180, 0, 0
0, 0.03201, 831.895, -180, 0, 0
0, 0.03301, 831.895, 180, 0, 0
0, 0.03301, 831.895, 180, 0, 0
0, 0.03401, 831.895, -180, 0, 0
0, 0.03401, 831.895, -180, 0, 0
0, 0.03501, 831.895, 180, 0, 0
0, 0.03501, 831.895, 180, 0, 0
0, 0.03601, 831.895, -180, 0, 0
0, 0.03601, 831.895, -180, 0, 0
0, 0.03701, 831.895, 180, 0, 0
0, 0.03701, 831.895, 180, 0, 0
0, 0.03801, 831.895, -180, 0, 0
0, 0.03801, 831.895, -180, 0, 0
0, 0.03901, 831.895, 180, 0, 0
0, 0.03901, 831.895, 180, 0, 0
0, 0.04001, 831.896, 180, 0, 0
0, 0.04001, 831.896, 180, 0, 0
0, 0.04101, 831.895, -180, 0, 0
0, 0.04101, 831.895, -180, 0, 0
0, 0.04201, 831.895, 180, 0, 0
0, 0.04201, 831.895, 180, 0, 0
0, 0.04301, 831.895, -180, 0, 0
0, 0.04301, 831.895, -180, 0, 0
0, 0.04401, 831.896, 180, 0, 0
0, 0.04401, 831.896, 180, 0, 0
0, 0.04501, 831.895, -180, 0, 0
0, 0.04501, 831.895, -180, 0, 0
0, 0.04601, 831.895, 180, 0, 0
0, 0.04601, 831.895, 180, 0, 0
0, 0.04701, 831.895, -180, 0, 0
0, 0.04701, 831.895, -180, 0, 0
0, 0.04801, 831.897, 180, 0, 0
0, 0.04801, 831.897, 180, 0, 0
0, 0.04901, 831.895, -180, 0, 0
0, 0.04901, 831.895, -180, 0, 0
0, 0.05001, 831.895, 180, 0, 0
0, 0.05001, 831.895, 180, 0, 0
0, 0.05101, 831.895, -180, 0, 0
0, 0.05101, 831.895, -180, 0, 0
0, 0.05201, 831.897, 180, 0, 0
0, 0.05201, 831.897, 180, 0, 0
0, 0.05301, 831.896, -180, 0, 0
0, 0.05301, 831.896, -180, 0, 0
0, 0.05401, 831.895, 180, 0, 0
0, 0.05401, 831.895, 180, 0, 0
0, 0.05501, 831.895, -180, 0, 0
0, 0.05501, 831.895, -180, 0, 0
0, 0.05601, 831.897, 180, 0, 0
0, 0.05601, 831.897, 180, 0, 0
0, 0.05701, 831.896, -180, 0, 0
0, 0.05701, 831.896, -180, 0, 0
0, 0.05801, 831.895, 180, 0, 0
0, 0.05801, 831.895, 180, 0, 0
0, 0.05901, 831.895, -180, 0, 0
0, 0.05901, 831.895, -180, 0, 0
0, 0.06001, 831.898, 180, 0, 0
0, 0.06001, 831.898, 180, 0, 0
0, 0.06101, 831.896, -180, 0, 0
0, 0.06101, 831.896, -180, 0, 0
0, 0.06201, 831.895, 180, 0, 0
0, 0.06201, 831.895, 180, 0, 0
0, 0.06301, 831.895, -180, 0, 0
0, 0.06301, 831.895, -180, 0, 0
0, 0.06401, 831.899, 179.999, 0, 0
0, 0.06401, 831.899, 179.999, 0, 0
0, 0.06501, 831.896, -180, 0, 0
0, 0.06501, 831.896, -180, 0, 0
0, 0.06601, 831.895, 180, 0, 0
0, 0.06601, 831.895, 180, 0, 0
0, 0.06701, 831.895, -180, 0, 0
0, 0.06701, 831.895, -180, 0, 0
0, 0.06801, 831.899, 179.999, 0, 0
0, 0.06801, 831.899, 179.999, 0, 0
0, 0.06901, 831.896, -180, 0, 0
0, 0.06901, 831.896, -180, 0, 0
0, 0.07001, 831.895, 180, 0, 0
0, 0.07001, 831.895, 180, 0, 0
0, 0.07101, 831.895, -180, 0, 0
0, 0.07101, 831.895, -180, 0, 0
0, 0.07201, 831.899, 179.999, 0, 0
0, 0.07201, 831.899, 179.999, 0, 0
0, 0.07301, 831.896, -180, 0, 0
0, 0.07301, 831.896, -180, 0, 0
0, 0.07401, 831.895, 180, 0, 0
0, 0.07401, 831.895, 180, 0, 0
0, 0.07501, 831.895, -180, 0, 0
0, 0.07501, 831.895, -180, 0, 0
0, 0.07601, 831.899, 179.999, 0, 0
0, 0.07601, 831.899, 179.999, 0, 0
0, 0.07701, 831.896, -180, 0, 0
0, 0.07701, 831.896, -180, 0, 0
0, 0.07801, 831.895, 180, 0, 0
0, 0.07801, 831.895, 180, 0, 0
