hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1.00000, 555.554, -154.154, 555.538, -154.161, 555.575, -154.16, 0, 0
0, 0.00000, 466.807, -154.161, 466.806, -154.155, 466.784, -154.158, 0, 0
0, 0.00000, 466.807, -154.161, 466.806, -154.155, 466.784, -154.158, 0, 0
0, 0.00101, 466.796, -154.158, 466.799, -154.159, 466.802, -154.158, 0, 0
0, 0.00101, 466.796, -154.158, 466.799, -154.159, 466.802, -154.158, 0, 0
0, 0.00201, 466.8, -154.158, 466.799, -154.158, 466.799, -154.158, 0, 0
0, 0.00201, 466.8, -154.158, 466.799, -154.158, 466.799, -154.158, 0, 0
0, 0.00301, 466.799, -154.158, 466.799, -154.158, 466.799, -154.158, 0, 0
0, 0.00301, 466.799, -154.158, 466.799, -154.158, 466.799, -154.158, 0, 0
0, 0.00401, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00401, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00501, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00501, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00601, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00601, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00701, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00701, 466.479, -154.158, 466.479, -154.158, 466.479, -154.158, 0, 0
0, 0.00801, 465.874, -154.158, 465.874, -154.158, 465.875, -154.158, 0, 0
0, 0.00801, 465.874, -154.158, 465.874, -154.158, 465.875, -154.158, 0, 0
0, 0.00901, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.00901, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.01001, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.01001, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.01101, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.01101, 465.874, -154.158, 465.874, -154.158, 465.874, -154.158, 0, 0
0, 0.01201, 465.364, -154.158, 465.363, -154.158, 465.364, -154.158, 0, 0
0, 0.01201, 465.364, -154.158, 465.363, -154.158, 465.364, -154.158, 0, 0
0, 0.01301, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01301, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01401, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01401, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01501, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01501, 465.364, -154.158, 465.364, -154.158, 465.364, -154.158, 0, 0
0, 0.01601, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01601, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01701, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01701, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01801, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01801, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01901, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.01901, 464.979, -154.158, 464.979, -154.158, 464.979, -154.158, 0, 0
0, 0.02001, 464.679, -154.158, 464.679, -154.158, 464.679, -154.158, 0, 0
0, 0.02001, 464.679, -154.158, 464.679, -154.158, 464.679, -154.158, 0, 0
0, 0.02000, 464.679, -154.158, 464.679, -154.158, 464.679, -154.158, 0, 0
0, 0.02101, 464.688, -154.156, 464.659, -154.158, 464.689, -154.16, 0, 0
0, 0.02101, 464.688, -154.156, 464.659, -154.158, 464.689, -154.16, 0, 0
0, 0.02201, 464.679, -154.159, 464.685, -154.158, 464.674, -154.158, 0, 0
0, 0.02201, 464.679, -154.159, 464.685, -154.158, 464.674, -154.158, 0, 0
0, 0.02301, 464.678, -154.158, 464.678, -154.158, 464.681, -154.158, 0, 0
0, 0.02301, 464.678, -154.158, 464.678, -154.158, 464.681, -154.158, 0, 0
0, 0.02401, 464.39, -154.158, 464.39, -154.158, 464.389, -154.158, 0, 0
0, 0.02401, 464.39, -154.158, 464.39, -154.158, 464.389, -154.158, 0, 0
0, 0.02501, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02501, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02601, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02601, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02701, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02701, 464.39, -154.158, 464.39, -154.158, 464.39, -154.158, 0, 0
0, 0.02801, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.02801, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.02901, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.02901, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.03001, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.03001, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.03101, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.03101, 464.114, -154.158, 464.114, -154.158, 464.114, -154.158, 0, 0
0, 0.03201, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03201, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03301, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03301, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03401, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03401, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03501, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03501, 463.909, -154.158, 463.909, -154.158, 463.909, -154.158, 0, 0
0, 0.03601, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03601, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03701, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03701, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03801, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03801, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03901, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.03901, 463.83, -154.158, 463.83, -154.158, 463.83, -154.158, 0, 0
0, 0.04001, 463.916, -154.158, 463.916, -154.158, 463.916, -154.158, 0, 0
0, 0.04001, 463.916, -154.158, 463.916, -154.158, 463.916, -154.158, 0, 0
0, 0.04101, 463.916, -154.158, 463.916, -154.158, 463.916, -154.158, 0, 0
