hour, t(sec), V1, VAngle1, VN, VNAngle, I1, IAngle1, IN, INAngle
0, 1.00000, 2328.47, 154.737, 2328.47, 154.737, 78.2896, -50.4638, 78.2896, -50.4638
0, 0.00000, 2341.73, 155.026, 2341.73, 155.026, 78.2872, -50.1752, 78.2872, -50.1752
0, 0.00000, 2341.73, 155.026, 2341.73, 155.026, 78.2872, -50.1752, 78.2872, -50.1752
0, 0.00101, 2341.63, 155.026, 2341.63, 155.026, 78.2836, -50.1755, 78.2836, -50.1755
0, 0.00101, 2341.63, 155.026, 2341.63, 155.026, 78.2836, -50.1755, 78.2836, -50.1755
0, 0.00201, 2341.65, 155.026, 2341.65, 155.026, 78.2848, -50.1751, 78.2848, -50.1751
0, 0.00201, 2341.65, 155.026, 2341.65, 155.026, 78.2848, -50.1751, 78.2848, -50.1751
0, 0.00301, 2341.65, 155.026, 2341.65, 155.026, 78.2845, -50.1752, 78.2845, -50.1752
0, 0.00301, 2341.65, 155.026, 2341.65, 155.026, 78.2845, -50.1752, 78.2845, -50.1752
0, 0.00401, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00401, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00501, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00501, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00601, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00601, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00701, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00701, 2341.65, 155.026, 2341.65, 155.026, 78.2846, -50.1752, 78.2846, -50.1752
0, 0.00801, 2341.61, 155.025, 2341.61, 155.025, 78.2847, -50.1759, 78.2847, -50.1759
0, 0.00801, 2341.61, 155.025, 2341.61, 155.025, 78.2847, -50.1759, 78.2847, -50.1759
0, 0.00901, 2341.61, 155.025, 2341.61, 155.025, 78.2845, -50.176, 78.2845, -50.176
0, 0.00901, 2341.61, 155.025, 2341.61, 155.025, 78.2845, -50.176, 78.2845, -50.176
