hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1.00000, 555.554, -154.154, 555.538, -154.161, 555.575, -154.16, 0, 0
0, 0.00000, 746.906, -154.155, 746.843, -154.157, 746.891, -154.162, 0, 0
0, 0.00000, 746.906, -154.155, 746.843, -154.157, 746.891, -154.162, 0, 0
0, 0.00101, 746.875, -154.159, 746.887, -154.158, 746.873, -154.157, 0, 0
0, 0.00101, 746.875, -154.159, 746.887, -154.158, 746.873, -154.157, 0, 0
0, 0.00201, 746.879, -154.158, 746.877, -154.158, 746.88, -154.158, 0, 0
0, 0.00201, 746.879, -154.158, 746.877, -154.158, 746.88, -154.158, 0, 0
0, 0.00301, 746.879, -154.158, 746.879, -154.158, 746.878, -154.158, 0, 0
0, 0.00301, 746.879, -154.158, 746.879, -154.158, 746.878, -154.158, 0, 0
0, 0.00401, 746.878, -154.158, 746.878, -154.158, 746.879, -154.158, 0, 0
0, 0.00401, 746.878, -154.158, 746.878, -154.158, 746.879, -154.158, 0, 0
0, 0.00501, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00501, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00601, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00601, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00701, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00701, 746.878, -154.158, 746.878, -154.158, 746.878, -154.158, 0, 0
0, 0.00801, 746.367, -154.158, 746.366, -154.158, 746.368, -154.158, 0, 0
0, 0.00801, 746.367, -154.158, 746.366, -154.158, 746.368, -154.158, 0, 0
0, 0.00901, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.00901, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01001, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01001, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01101, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01101, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01201, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01201, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01301, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01301, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01401, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01401, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01501, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01501, 746.366, -154.158, 746.366, -154.158, 746.366, -154.158, 0, 0
0, 0.01601, 745.399, -154.158, 745.398, -154.158, 745.402, -154.158, 0, 0
0, 0.01601, 745.399, -154.158, 745.398, -154.158, 745.402, -154.158, 0, 0
0, 0.01701, 745.399, -154.158, 745.399, -154.158, 745.398, -154.158, 0, 0
0, 0.01701, 745.399, -154.158, 745.399, -154.158, 745.398, -154.158, 0, 0
0, 0.01801, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.01801, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.01901, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.01901, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.02001, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.02001, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.02000, 745.399, -154.158, 745.399, -154.158, 745.399, -154.158, 0, 0
0, 0.02101, 745.399, -154.16, 745.421, -154.157, 745.378, -154.157, 0, 0
0, 0.02101, 745.399, -154.16, 745.421, -154.157, 745.378, -154.157, 0, 0
0, 0.02201, 745.395, -154.157, 745.394, -154.159, 745.407, -154.158, 0, 0
0, 0.02201, 745.395, -154.157, 745.394, -154.159, 745.407, -154.158, 0, 0
0, 0.02301, 745.401, -154.158, 745.399, -154.158, 745.396, -154.158, 0, 0
0, 0.02301, 745.401, -154.158, 745.399, -154.158, 745.396, -154.158, 0, 0
0, 0.02401, 744.58, -154.158, 744.581, -154.158, 744.583, -154.158, 0, 0
0, 0.02401, 744.58, -154.158, 744.581, -154.158, 744.583, -154.158, 0, 0
0, 0.02501, 744.583, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02501, 744.583, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02601, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02601, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02701, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02701, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02801, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02801, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02901, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.02901, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.03001, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.03001, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.03101, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.03101, 744.582, -154.158, 744.582, -154.158, 744.582, -154.158, 0, 0
0, 0.03201, 743.966, -154.158, 743.966, -154.158, 743.967, -154.158, 0, 0
0, 0.03201, 743.966, -154.158, 743.966, -154.158, 743.967, -154.158, 0, 0
0, 0.03301, 743.967, -154.158, 743.967, -154.158, 743.966, -154.158, 0, 0
0, 0.03301, 743.967, -154.158, 743.967, -154.158, 743.966, -154.158, 0, 0
0, 0.03401, 743.966, -154.158, 743.967, -154.158, 743.967, -154.158, 0, 0
0, 0.03401, 743.966, -154.158, 743.967, -154.158, 743.967, -154.158, 0, 0
0, 0.03501, 743.967, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03501, 743.967, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03601, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03601, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03701, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03701, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03801, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03801, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03901, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.03901, 743.966, -154.158, 743.966, -154.158, 743.966, -154.158, 0, 0
0, 0.04001, 743.486, -154.158, 743.486, -154.158, 743.487, -154.158, 0, 0
0, 0.04001, 743.486, -154.158, 743.486, -154.158, 743.487, -154.158, 0, 0
0, 0.04101, 743.487, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04101, 743.487, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04201, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04201, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04301, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04301, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04401, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04401, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04501, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04501, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04601, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04601, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04701, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04701, 743.486, -154.158, 743.486, -154.158, 743.486, -154.158, 0, 0
0, 0.04801, 743.023, -154.158, 743.023, -154.158, 743.024, -154.158, 0, 0
0, 0.04801, 743.023, -154.158, 743.023, -154.158, 743.024, -154.158, 0, 0
0, 0.04901, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.04901, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05001, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05001, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05000, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05000, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05000, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05101, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05101, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05201, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05201, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05301, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05301, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05401, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05401, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05501, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05501, 743.024, -154.158, 743.024, -154.158, 743.024, -154.158, 0, 0
0, 0.05601, 742.582, -154.158, 742.582, -154.158, 742.583, -154.158, 0, 0
0, 0.05601, 742.582, -154.158, 742.582, -154.158, 742.583, -154.158, 0, 0
0, 0.05701, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.05701, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.05801, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.05801, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.05901, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.05901, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
0, 0.06001, 742.583, -154.158, 742.583, -154.158, 742.583, -154.158, 0, 0
